dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
not,gemma-2-9b-it,12,both_misaligned,117,0.0936,0.051082729999999965,0.0009896999999999823,0.1003417779059829,0.028002727192307696,0.059985500000000025,0.10008508285042736,-0.03892724999999997
not,gemma-2-9b-it,13,both_aligned,554,0.4432,0.9987354868,0.99918368,0.9718073727449458,0.9739019503401786,0.007301316000000002,0.050694117281153424,0.00033975000000002753
not,gemma-2-9b-it,13,aligned_output_misaligned_latent,470,0.376,0.999341025,0.0028585175000000133,0.9667726879951064,0.02408080977402128,0.9893007145,0.9426918782210851,-0.9893007145
not,gemma-2-9b-it,13,misaligned_output_aligned_latent,108,0.0864,0.05461322500000004,0.9993941784,0.10976875142592592,0.9817213328514816,0.9266547215150001,0.8719525814255555,0.9266547215150001
not,gemma-2-9b-it,13,both_misaligned,118,0.0944,0.05471429,0.0003313499999999525,0.09990611877118645,0.026846228734406775,0.05424277500000002,0.09819481851135593,-0.03814120999999998
not,gemma-2-9b-it,14,both_aligned,536,0.4288,0.9984915721500001,0.9981146393,0.9715858070311567,0.977081854720709,0.006463643549999953,0.04625261585932835,0.00027783000000003444
not,gemma-2-9b-it,14,aligned_output_misaligned_latent,488,0.3904,0.999356315,0.00188198965,0.9672017526428278,0.020111065443299183,0.9918687930000001,0.9470906871995287,-0.9918687930000001
not,gemma-2-9b-it,14,misaligned_output_aligned_latent,105,0.084,0.05340330000000004,0.9982756971,0.1052478528952381,0.9845518745222857,0.9316238548,0.8793040216270476,0.9316238548
not,gemma-2-9b-it,14,both_misaligned,121,0.0968,0.05834585000000003,0.0003845700000000285,0.10407374061983472,0.029194239554545455,0.06080770000000002,0.10184102519752065,-0.03898959999999996
not,gemma-2-9b-it,15,both_aligned,497,0.3976,0.99936384,0.9983301,0.9677129640637827,0.9778946206201429,0.005541330000000011,0.047210454539458754,-0.0006394000000000677
not,gemma-2-9b-it,15,aligned_output_misaligned_latent,527,0.4216,0.9984145693,0.003304060000000053,0.9711785668286528,0.022520508445066412,0.987269772,0.9486580583835863,-0.987269772
not,gemma-2-9b-it,15,misaligned_output_aligned_latent,123,0.0984,0.05921030000000005,0.99929948564,0.10358911882113822,0.9646172458062927,0.922251715,0.8610281269851545,0.922251715
not,gemma-2-9b-it,15,both_misaligned,103,0.0824,0.045352599999999965,0.0035903999999999936,0.10584937431067962,0.01441951900592233,0.05678143000000002,0.10116611239213592,-0.03384290000000001
not,gemma-2-9b-it,16,both_aligned,526,0.4208,0.99856739715,0.9957129638,0.9719417220469582,0.9774664325847718,0.007346758499999939,0.04424341089370722,-0.0003010499999999694
not,gemma-2-9b-it,16,aligned_output_misaligned_latent,498,0.3984,0.9993512499999999,0.0017850794999999847,0.9669138595616465,0.023454852140502008,0.991564205,0.9434590074211446,-0.991564205
not,gemma-2-9b-it,16,misaligned_output_aligned_latent,103,0.0824,0.045352599999999965,0.9971821639,0.10345730829126212,0.9859873021437864,0.9308358587,0.8825299938525243,0.9308358587
not,gemma-2-9b-it,16,both_misaligned,123,0.0984,0.05921030000000005,0.0005528999999999673,0.10559223101626015,0.03017004135609756,0.06067149999999999,0.09954807567642276,-0.038877179999999956
not,gemma-2-9b-it,17,both_aligned,532,0.4256,0.99860602585,0.99758936075,0.9722376285577068,0.9775982864878008,0.007229660499999957,0.045459773046635336,0.00015609000000005313
