model,layer,relative_depth,depth_category,latent_accuracy,behavioral_accuracy,latent_behavioral_agreement,latent_predicted_harmful_rate,n_samples
Gemma 2 2B IT,12,0.44,Middle,0.6706827309236948,0.5903614457831325,0.5903614457831325,0.642570281124498,249
Gemma 2 2B IT,13,0.48,Middle,0.9477911646586346,0.5903614457831325,0.5542168674698795,0.4939759036144578,249
Gemma 2 2B IT,14,0.52,Middle,0.9558232931726908,0.5903614457831325,0.570281124497992,0.5100401606425703,249
Gemma 2 2B IT,15,0.56,Middle,0.963855421686747,0.5903614457831325,0.5783132530120482,0.5180722891566265,249
Gemma 2 2B IT,16,0.6,Middle,0.9678714859437751,0.5903614457831325,0.5742971887550201,0.5140562248995983,249
Gemma 2 2B IT,17,0.64,Late,0.9678714859437751,0.5903614457831325,0.5742971887550201,0.5140562248995983,249
Gemma 2 2B IT,18,0.68,Late,0.9678714859437751,0.5903614457831325,0.5742971887550201,0.5140562248995983,249
Gemma 2 2B IT,19,0.72,Late,0.963855421686747,0.5903614457831325,0.570281124497992,0.5100401606425703,249
Gemma 2 2B IT,20,0.76,Late,0.963855421686747,0.5903614457831325,0.570281124497992,0.5100401606425703,249
Gemma 2 2B IT,21,0.8,Late,0.9678714859437751,0.5903614457831325,0.5742971887550201,0.5140562248995983,249
Gemma 2 2B IT,22,0.84,Very late,0.963855421686747,0.5903614457831325,0.5783132530120482,0.5180722891566265,249
Gemma 2 2B IT,23,0.88,Very late,0.9678714859437751,0.5903614457831325,0.5742971887550201,0.5140562248995983,249
Gemma 2 2B IT,24,0.92,Very late,0.9598393574297188,0.5903614457831325,0.5742971887550201,0.5140562248995983,249
Gemma 2 2B IT,25,0.96,Very late,0.9598393574297188,0.5903614457831325,0.5742971887550201,0.5140562248995983,249
Gemma 2 2B IT,26,1.0,Very late,0.9598393574297188,0.5903614457831325,0.5742971887550201,0.5140562248995983,249
Gemma 2 9B,1,0.0,Very early,0.5220883534136547,0.46184738955823296,0.4738955823293173,0.5261044176706827,249
Gemma 2 9B,2,0.024390243902439025,Very early,0.5903614457831325,0.46184738955823296,0.4859437751004016,0.5140562248995983,249
Gemma 2 9B,3,0.04878048780487805,Very early,0.6104417670682731,0.46184738955823296,0.44176706827309237,0.5582329317269076,249
Gemma 2 9B,4,0.07317073170731707,Very early,0.6506024096385542,0.46184738955823296,0.44176706827309237,0.5582329317269076,249
Gemma 2 9B,5,0.0975609756097561,Very early,0.6305220883534136,0.46184738955823296,0.43775100401606426,0.5622489959839357,249
Gemma 2 9B,6,0.12195121951219512,Very early,0.6345381526104418,0.46184738955823296,0.42570281124497994,0.5742971887550201,249
Gemma 2 9B,7,0.14634146341463414,Very early,0.678714859437751,0.46184738955823296,0.3815261044176707,0.6184738955823293,249
Gemma 2 9B,8,0.17073170731707318,Very early,0.6827309236947792,0.46184738955823296,0.37751004016064255,0.6224899598393574,249
Gemma 2 9B,9,0.1951219512195122,Very early,0.678714859437751,0.46184738955823296,0.37349397590361444,0.6265060240963856,249
Gemma 2 9B,10,0.21951219512195122,Early,0.678714859437751,0.46184738955823296,0.37349397590361444,0.6265060240963856,249
Gemma 2 9B,11,0.24390243902439024,Early,0.6827309236947792,0.46184738955823296,0.36947791164658633,0.6305220883534136,249
Gemma 2 9B,12,0.2682926829268293,Early,0.6746987951807228,0.46184738955823296,0.3614457831325301,0.6385542168674698,249
Gemma 2 9B,13,0.2926829268292683,Early,0.678714859437751,0.46184738955823296,0.3654618473895582,0.6345381526104418,249
Gemma 2 9B,14,0.3170731707317073,Early,0.6746987951807228,0.46184738955823296,0.3614457831325301,0.6385542168674698,249
Gemma 2 9B,15,0.34146341463414637,Early,0.678714859437751,0.46184738955823296,0.3654618473895582,0.6345381526104418,249
Gemma 2 9B,16,0.36585365853658536,Early,0.6867469879518072,0.46184738955823296,0.3654618473895582,0.6345381526104418,249
Gemma 2 9B,17,0.3902439024390244,Early,0.6867469879518072,0.46184738955823296,0.37349397590361444,0.6265060240963856,249
Gemma 2 9B,18,0.4146341463414634,Middle,0.6706827309236948,0.46184738955823296,0.3493975903614458,0.6506024096385542,249
Gemma 2 9B,19,0.43902439024390244,Middle,0.6706827309236948,0.46184738955823296,0.3493975903614458,0.6506024096385542,249
Gemma 2 9B,20,0.4634146341463415,Middle,0.6666666666666666,0.46184738955823296,0.3453815261044177,0.6546184738955824,249
Gemma 2 9B,21,0.4878048780487805,Middle,0.6666666666666666,0.46184738955823296,0.3453815261044177,0.6546184738955824,249
Gemma 2 9B,22,0.5121951219512195,Middle,0.6706827309236948,0.46184738955823296,0.3493975903614458,0.6506024096385542,249
Gemma 2 9B,23,0.5365853658536586,Middle,0.6706827309236948,0.46184738955823296,0.3493975903614458,0.6506024096385542,249
Gemma 2 9B,24,0.5609756097560976,Middle,0.9437751004016064,0.46184738955823296,0.5100401606425703,0.4899598393574297,249
Gemma 2 9B,25,0.5853658536585366,Middle,0.6746987951807228,0.46184738955823296,0.3453815261044177,0.6546184738955824,249
Gemma 2 9B,26,0.6097560975609756,Late,0.963855421686747,0.46184738955823296,0.4979919678714859,0.5020080321285141,249
