dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
mixed,deberta-hate-tuned,10,both_misaligned,154,0.12379421221864952,0.0122897685,0.27987732,0.057055127558441554,0.32377138805194805,0.25206987324999997,0.2809419752987013,0.25206987324999997
mixed,deberta-hate-tuned,11,both_aligned,553,0.4445337620578778,0.995396821,0.58223015,0.9684185390287522,0.5918302826401447,0.41009227579999996,0.3822421561716094,-0.41009227579999996
mixed,deberta-hate-tuned,11,aligned_output_misaligned_latent,320,0.2572347266881029,0.9913488765,0.42089206,0.947172491000625,0.4134009085,0.5457369205,0.5337715825006251,-0.5457369205
mixed,deberta-hate-tuned,11,misaligned_output_aligned_latent,191,0.1535369774919614,0.023887474,0.63794565,0.07826872628900523,0.6522163595287959,0.5744734,0.5739476332397906,0.5744734
mixed,deberta-hate-tuned,11,both_misaligned,180,0.14469453376205788,0.009690913999999998,0.41869396000000003,0.04916957782166667,0.42896630822222226,0.39966190710000005,0.3814014950672222,0.39966190710000005
mixed,deberta-hate-tuned,12,both_aligned,458,0.36816720257234725,0.9943415143000001,0.58354448,0.961054420378821,0.5842653794541485,0.39776167635,0.3783561032827511,-0.39776167635
mixed,deberta-hate-tuned,12,aligned_output_misaligned_latent,415,0.33360128617363344,0.9950461676,0.41135429999999995,0.9601631919749397,0.40299243318072286,0.5655253176,0.5571707587942168,-0.5655253176
mixed,deberta-hate-tuned,12,misaligned_output_aligned_latent,234,0.18810289389067525,0.0116342345,0.58404994,0.05728472150897436,0.5923723720940172,0.5462223965,0.5350876505850428,0.5462223965
mixed,deberta-hate-tuned,12,both_misaligned,137,0.11012861736334405,0.020333417,0.4242278,0.07587756128467153,0.4182717337226277,0.371420136,0.3485256052846715,0.371420136
mixed,deberta-hate-tuned,13,both_aligned,578,0.4646302250803859,0.9953946741999999,0.549867525,0.9618997193259515,0.5530762143252596,0.43337864700000006,0.4101394020249135,-0.43337864700000006
mixed,deberta-hate-tuned,13,aligned_output_misaligned_latent,295,0.23713826366559485,0.9926386774,0.45829260000000005,0.9581444455345762,0.45485092715254233,0.522730241,0.5032935183820338,-0.522730241
mixed,deberta-hate-tuned,13,misaligned_output_aligned_latent,219,0.1760450160771704,0.027219474,0.5628058,0.08495212247488584,0.5696305458447488,0.5164833719999999,0.484678423369863,0.5164833719999999
mixed,deberta-hate-tuned,13,both_misaligned,152,0.12218649517684887,0.008138844,0.4602341,0.03417984149407895,0.45682225361842105,0.43983734750000003,0.42264241212434206,0.43983734750000003
mixed,deberta-hate-tuned,14,both_aligned,530,0.42604501607717044,0.99392267385,0.67710942,0.957658097171698,0.6723111163773585,0.292888161,0.2928435298509434,-0.292888161
mixed,deberta-hate-tuned,14,aligned_output_misaligned_latent,343,0.2757234726688103,0.9954477255,0.3660508,0.965224074933236,0.3564101734985423,0.6115708528,0.6088139014346939,-0.6115708528
mixed,deberta-hate-tuned,14,misaligned_output_aligned_latent,272,0.21864951768488747,0.01261200375,0.64526455,0.06203571420514706,0.6583300919117647,0.6056952405,0.5962943777066176,0.6056952405
mixed,deberta-hate-tuned,14,both_misaligned,99,0.07958199356913183,0.018898815,0.36480683,0.0699609743969697,0.36927933313131317,0.3252937,0.309375119340404,0.3252937
mixed,deberta-hate-tuned,15,both_aligned,521,0.4188102893890675,0.995368794,0.57328343,0.9651785796295586,0.5838727109404991,0.4198141099999999,0.38529674350671783,-0.4198141099999999
mixed,deberta-hate-tuned,15,aligned_output_misaligned_latent,352,0.2829581993569132,0.993009214,0.43672463,0.9538994580002842,0.4303974465909091,0.5419259615,0.523502011409375,-0.5419259615
mixed,deberta-hate-tuned,15,misaligned_output_aligned_latent,190,0.1527331189710611,0.0155757165,0.6391903750000001,0.0688218172963158,0.6315792446842106,0.58652381475,0.5627574273878947,0.58652381475
